pca_0,classe
0.7611990562724041,wheaten
-0.5651574227282051,leonberger
0.1823924506730541,Abyssinian
-1.2892920097086968,Abyssinian
-1.1102891132218882,leonberger
0.9423840817752763,wheaten
1.5951143764969364,wheaten
0.3544784880424927,wheaten
-0.5176179122275557,wheaten
-1.1965908531490448,Persian
-0.6486195298630111,Abyssinian
-0.9531756430561582,Persian
0.08863177286238713,leonberger
-0.24224493480512405,wheaten
-0.5105403815575145,wheaten
0.12130988622758733,wheaten
-0.05232271112634411,wheaten
1.0423261411019702,Abyssinian
1.2663188299906785,Persian
0.5424668570450292,leonberger
-1.533276591460299,Abyssinian
0.5540998368834343,Persian
0.8929361058043611,wheaten
-1.6280564946527678,leonberger
-0.6910632396562192,wheaten
0.19651864815393622,Abyssinian
-0.27316677322064603,Persian
-1.3401968596417015,leonberger
-0.05893624746607089,leonberger
-1.67907789311509,Abyssinian
-0.943325411309478,Abyssinian
-0.3916157641983262,wheaten
0.2225567344357076,Persian
2.369989642592124,leonberger
2.7341086003860493,Persian
-0.023886569317748026,Persian
-0.8435509183085329,leonberger
-0.5376055435963202,Abyssinian
-0.23754295092309433,Persian
0.31039722573991063,wheaten
0.30380698199545525,Abyssinian
-0.3407724552938802,Abyssinian
2.6230559422590147,leonberger
0.016575592793600907,Abyssinian
-1.3929167900308062,leonberger
-0.48008103152705117,wheaten
0.14149627446404608,Abyssinian
1.1751153290898808,leonberger
0.1033581229276958,Persian
-1.0747190710469008,Abyssinian
-0.1195946280837974,Abyssinian
-1.8744720891923228,Abyssinian
0.034034184605106245,wheaten
0.2644046166345052,wheaten
-1.1755994931228775,leonberger
1.1519609173381664,Abyssinian
-1.1100962148559137,Persian
-0.783369232474554,wheaten
-1.3726485701534017,wheaten
-0.3078671277891187,leonberger
-0.37436943550560847,leonberger
1.2916297482139532,Persian
-0.37271728675664023,wheaten
1.2886999301887552,wheaten
-0.5915963353919911,Persian
0.13929458801863775,leonberger
-0.8335255170759104,Abyssinian
1.2353758304790317,Abyssinian
-0.25397855117987117,leonberger
-0.6551465229639891,Persian
1.4460174225742193,Persian
-1.0854264481558173,Abyssinian
0.5975987826032906,Persian
-0.7671508581583985,Persian
-1.1506872308868108,Abyssinian
-0.18436254810510433,wheaten
-1.8578258341045846,leonberger
0.12206159613269991,Abyssinian
1.8819405737739412,Persian
0.22655750709808484,wheaten
-0.009630163649802466,leonberger
-0.023418990670190137,leonberger
0.8261527828811157,Persian
0.013479881905911742,Persian
-1.8292705916918828,leonberger
0.6747387316906219,leonberger
1.8678601544596938,leonberger
0.5763922178097309,leonberger
0.47653395955211303,wheaten
0.034488209792452436,wheaten
0.17356091790332445,Abyssinian
0.15055585976250513,wheaten
0.3986608088612424,leonberger
1.4928952835437477,Abyssinian
-1.2740794991215771,leonberger
1.2875577576385575,Abyssinian
-0.17606871444058814,Persian
0.2805543278064563,leonberger
-1.0019033486525364,wheaten
0.818921916666197,Persian
2.024833552909538,Persian
1.014725277044187,Persian
0.3595273388693487,Persian
-0.5766095279556508,Persian
-0.7936141377064572,Persian
-0.3374026622001818,Abyssinian
-0.22317915549944461,wheaten
1.357116439351934,Abyssinian
-0.5863539303636197,wheaten
-1.2833169007064693,wheaten
-0.1696808693184338,leonberger
